HF Code,HF Name,Province,District,Palika,Ward,Authority-Level,Authority,Ownership,Facility Level
1010100061,LUNGTHUNG HEALTH POST,Koshi Pradesh,Taplejung,Phaktanlung Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1010100071,OLANGCHUNGGOLA  HEALTH POST,Koshi Pradesh,Taplejung,Phaktanlung Rural Municipality,7,Local,Government,Local Government,Basic Health Service Center
1010100081,SAWADIN  HEALTH POST,Koshi Pradesh,Taplejung,Phaktanlung Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010100091,BASIC HOSPITAL TAPETHOK,Koshi Pradesh,Taplejung,Phaktanlung Rural Municipality,5,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1010200021,LIWANG HEALTH POST,Koshi Pradesh,Taplejung,Mikwakhola Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010200031,PAPUNG HEALTH POST,Koshi Pradesh,Taplejung,Mikwakhola Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1010300011,KHAMLUNG AAYURVED DISPENSARY,Koshi Pradesh,Taplejung,Meringden Rural Municipality,3,Local,Government,Local Government,Basic Ayurveda Service Centre
1010300021,KHAMLUNG HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010300031,LINGTEP HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010300041,MAHASHREENG HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,5,Local,Government,Provincial Government,Basic Health Service Center
1010300051,NALBU HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1010300061,SANTHAKRA HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010300071,THINGLABU HEALTH POST,Koshi Pradesh,Taplejung,Meringden Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010600301,PHUNGLING DISTRICT AAYURVED HEALTH  CENTER,Koshi Pradesh,Taplejung,Phungling Municipality,7,Provincial,Government,Provincial Government,District Ayurveda Health center
1010200051,COMMUNITY HEALTH  UNIT                                                   SIMBUK,WADA-5,Koshi Pradesh,Taplejung,Mikwakhola Rural Municipality,5,Local                                                  Government,Local Government,Basic Health Service Center
1010400051,PHAKUMBA  HEALTH POST,Koshi Pradesh,Taplejung,Maiwakhola Rural Municipality,5,Local,Government,Ministry of Health and Population,Basic Health Service Center
1010400061,SANGHU HEALTH POST,Koshi Pradesh,Taplejung,Maiwakhola Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010200061,SANWA HEALTH POST,Koshi Pradesh,Taplejung,Mikwakhola Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010400081,DHUNGESAGHU PRIMARY HEALTH CENTER,Koshi Pradesh,Taplejung,Maiwakhola Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010500011,CHANGE HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010500021,CHOKPUR HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010500031,HANGPANG HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010500041,HANGPANG MEHELE HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010500051,NIGHURADIN HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010500061,PHULBARI HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010500071,SOBUWA HEALTH POST,Koshi Pradesh,Taplejung,Aatharai Tribeni Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010600061,DISTRICT HOSPITAL_ TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,6,Provincial,Government,Provincial Government,General Hospital
1010600071,DOKHU HP_TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,8,Local,Government,Local Government,Health Post
1010600081,HANGDEVA HP_TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,9,Local,Government,Local Government,Health Post
1010600091,PHAWAKHOLA HP_TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,11,Local,Government,Local Government,Health Post
1010600101,PHURUMBU HEALTH POST TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,10,Local,Government,Local Government,Health Post
1010600111,URBAN HEALTH CLINIC MAYAM TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,10,Local,Government,Local Government,Urban Health Center
1010600121,BASIC HEALTH SERVICE CENTER DEULINGE TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,2,Local,Government,Local Government,Basic Health Service Centre
1010600131,URBAN HEALTH CLINIC SUKETAR,Koshi Pradesh,Taplejung,Phungling Municipality,9,Local,Government,Local Government,Urban Health Center
1010600142,DICHEN DONGLA EYE CENTER_TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,6,,Non-Government,Private Enterprise,Specialized Hospital
1010600152,TAMOR HOSPITAL P.LTD._ TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,4,,Non-Government,Private Enterprise,General Hospital
1010600162,MANAW DENTAL CLINIC_TAPLEJUNG,Koshi Pradesh,Taplejung,Phungling Municipality,5,Local,Non-Government,Private Enterprise,Clinic (Dental/Eye/Medical????.)
1010700011,CHAKSIBOTE HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1010700021,DUMMRISE HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010700031,NANKHOLYANG HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010700041,THECHAMBU HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010700051,THUMBEDIN HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1010700061,TIRINGE HEALTH POST,Koshi Pradesh,Taplejung,Pathibhara Yangwarak Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010800011,KHAMDIMBE COMMUNITY HEALTH UNIT                                          AMBEGUDIN,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010800021,AMBEGUDIN HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010800031,KHEWANG HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,7,Local,Government,Local Government,Basic Health Service Center
1010800041,MAMANKHE HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1010800051,PEDANG HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1010800061,SIKAICHA HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010800071,SINAM HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010800081,YAMPHUDIN HEALTH POST,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,8,Local,Government,Local Government,Basic Health Service Center
1010800091,TELLOK PRIMARY HEALTH CARE CENTRE,Koshi Pradesh,Taplejung,Sirijanga Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010900011,ANGKHOP HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1010900021,KALIKHOLA  HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1010900031,LIMBUDIN HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1010900041,MEHELE HEALTHN POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1010900051,SABLAKHU HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1010900061,SADEWA HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1010900071,SURUMAKHIM HEALTH POST,Koshi Pradesh,Taplejung,Sidingba Rural Municipality,7,Local,Government,Local Government,Basic Health Service Center
1020100011,GOLA COMMUNITY HEALTH UNIT,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020100031,SYAKSILA BASIC HEALTH  SERVICE CENTER,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020100041,CHEPUWA HEALTH POST CHYAMTANG,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1020100051,HATIYA HEALTH POST,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020100061,KIMATHANGKA HEALTH POST,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1020200011,HEDANGNA AAYURVED DISPENSARY,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,3,Local,Government,Local Government,Basic Ayurveda Service Centre
1020200021,GADHI COMMUNITY HEALTH UNIT,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020200031,MANGSHIMA COMMUNITY HEALTH UNIT,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1020200041,WALUNG COMMUNITY HEALTH UNIT,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1020200061,MAKALU HEALTH POST,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1020200071,NUM PRIMARY HEALTH CARE CENTER,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,5,Local,Government,Local Government,Basic Health Service Center
1020200081,PATHIBHARA HEALTH POST,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020200091,PAWAKHOLA HEALTH POST,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020300011,BALA AAYURVED AUSADHALAYA,Koshi Pradesh,Sankhuwasava,Silichong Rural Municipality,2,Local,Government,Local Government,Basic Ayurveda Service Centre
1020300021,BALA HEALTH POST,Koshi Pradesh,Sankhuwasava,Silichong Rural Municipality,2,Local,Government,Local Government,Basic Health Service Center
1020300031,MANGTEWA HEALTH POST,Koshi Pradesh,Sankhuwasava,Silichong Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020300041,SISUWAKHOLA HEALTH POST,Koshi Pradesh,Sankhuwasava,Silichong Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1020200211,YAPHU HEALTH POST,Koshi Pradesh,Sankhuwasava,Makalu Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1020300061,TAMKU PRIMARY HEALTH CENTRE,Koshi Pradesh,Sankhuwasava,Silichong Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020400011,DIDING HEALTH POST,Koshi Pradesh,Sankhuwasava,Chichila Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020400021,PANGTHA PAKHRIBAS  HEALTH POST,Koshi Pradesh,Sankhuwasava,Chichila Rural Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020500011,SABHAPOKHARI BASIC HOSPITAL,Koshi Pradesh,Sankhuwasava,Sabhapokhari Rural Municipality,3,Local,Government,Local Government,Basic Hospital (5 to 15 beds)
1020500021,DHUPU HEALTH POST,Koshi Pradesh,Sankhuwasava,Sabhapokhari Rural Municipality,1,Local,Government,Local Government,Basic Health Service Center
1020500031,SABHAPOKHARI HEALTH POST,Koshi Pradesh,Sankhuwasava,Sabhapokhari Rural Municipality,6,Local,Government,Local Government,Basic Health Service Center
1020600011,PANGMA URBAN HEALTH  CENTER,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020600021,SHEKAHA BASIC HEALTH SERVICE CENTER,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,4,Local,Government,Local Government,Basic Health Service Center
1020600031,DISTRICT AAYURBED HEALTH CENTER,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,7,,Government,Provincial Government,District Ayurveda Health center
1020100071,HUNGUNG COMMUNITY HEALTH UNIT,Koshi Pradesh,Sankhuwasava,Bhotkhola Rural Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020600071,SANKHUWASABHA HOSPITAL,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,1,Provincial,Government,Provincial Government,General Hospital
1020600081,MALTA HP,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,5,Local,Government,Local Government,Basic Health Service Center
1020600091,MANAKAMANA HP SANKHUWASABHA,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,6,Local,Government,Local Government,Basic Health Service Center
1020600101,PANGMA HP,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,3,Local,Government,Local Government,Basic Health Service Center
1020600111,SITALPATI HP,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,10,Local,Government,Local Government,Basic Health Service Center
1020600121,TUMLINGTAR HP,Koshi Pradesh,Sankhuwasava,Khandabari Municipality,9,Local,Government,Local Government,Basic Health Service Center
